round,loss,accuracy,f1,recall,precision,auc,num_examples
0,0.7035908699035645,0.4433111250400543,0.5330914347242504,0.6373575988431559,0.4581431903458067,0.36706754610410125,113726
1,0.7023376822471619,0.41639554500579834,0.36172524883396645,0.3302718460241641,0.3998001743160222,0.4047993281368555,113726
2,0.7069856524467468,0.4328913390636444,0.42486556862465336,0.4199115122243571,0.4299379151025123,0.3822484170988392,113726
3,0.7178896069526672,0.36706647276878357,0.4940926757613455,0.6176093335441815,0.41174679036641365,0.3465072614907124,113726
4,0.715301513671875,0.38977015018463135,0.4659849026985849,0.535636575916786,0.41236313123059326,0.37491195146606265,113726
5,0.7138587236404419,0.39109790325164795,0.46701968813016637,0.5314054508512576,0.4165499629294011,0.3569573477454298,113726
