round,loss,accuracy,f1,recall,precision,auc,num_examples,clipping_norm,dp_noise_stddev,privacy_budget,nsr
0,0.683225691318512,0.5405096411705017,0.6050069541029207,0.7072420740112395,0.5285959582617884,0.6410970324520892,113726.0,,,,
1,,,,,,,,1.3764727162580135,1.589413786527479,1.1547005383792515,1.1547005383792515
1,25.558488845825195,0.422955185174942,0.1801281811026573,0.12656027808500553,0.3123212893163504,0.2730200179785547,113726.0,,,,
2,,,,,,,,1.3676267682890775,1.5791993656452736,1.632993161855452,1.1547005383792515
2,69.21086883544922,0.45728328824043274,0.31684505296246696,0.2527726758971461,0.42442843163419625,0.3944585489046044,113726.0,,,,
3,,,,,,,,1.308384077894946,1.5107917991521347,1.9999999999999998,1.1547005383792515
3,130.63348388671875,0.37738072872161865,0.31881325278023626,0.2939193983255286,0.3483141343647524,0.32788019928839973,113726.0,,,,
4,,,,,,,,1.386493937216632,1.600985295763613,2.309401076758503,1.1547005383792515
4,189.47962951660156,0.3804934620857239,0.36346716779299626,0.35545149319667785,0.37185270085406885,0.3520230816547606,113726.0,,,,
5,,,,,,,,1.4777120342920604,1.706314881566541,2.581988897471611,1.1547005383792515
5,244.78355407714844,0.30045899748802185,0.35275070374408113,0.38074079277823636,0.3285941644562334,0.2850527784249588,113726.0,,,,
